outer_fold,task,feature,coefficient,selected_candidate
1,irrelevant,action::PLACE_AT_10,-0.3563321773972291,0.05
1,irrelevant,interaction::qrsbt_relevance_probability__PLACE_AT_2,-0.09354950966992194,0.05
1,irrelevant,interaction::qrsbt_relevance_probability__PLACE_AT_3,-0.03724336266771941,0.05
1,irrelevant,interaction::qrsbt_relevance_probability__PLACE_AT_5,0.1879895270286499,0.05
1,irrelevant,interaction::qrsbt_relevance_probability__PLACE_AT_10,-0.10637792484686341,0.05
1,irrelevant,interaction::qrsbt_confidence__PLACE_AT_2,-0.06287639839093082,0.05
1,irrelevant,interaction::qrsbt_confidence__PLACE_AT_3,-0.014117713735201627,0.05
1,irrelevant,interaction::qrsbt_confidence__PLACE_AT_5,0.0016724677749870621,0.05
1,irrelevant,interaction::qrsbt_confidence__PLACE_AT_10,0.1097151787613717,0.05
1,irrelevant,interaction::qrsbt_support_score__PLACE_AT_2,0.0,0.05
1,irrelevant,interaction::qrsbt_support_score__PLACE_AT_3,0.0,0.05
1,irrelevant,interaction::qrsbt_support_score__PLACE_AT_5,0.0,0.05
1,irrelevant,interaction::qrsbt_support_score__PLACE_AT_10,0.0,0.05
1,irrelevant,interaction::base_rank__PLACE_AT_2,0.03742106791054097,0.05
1,irrelevant,interaction::base_rank__PLACE_AT_3,0.14400356972239817,0.05
1,irrelevant,interaction::base_rank__PLACE_AT_5,-0.03663022421474645,0.05
1,irrelevant,interaction::base_rank__PLACE_AT_10,0.11878116910387393,0.05
1,false_warmup,num::qrsbt_relevance_probability,-0.019267938836823352,0.05
1,false_warmup,num::qrsbt_confidence,0.19469130668581008,0.05
1,false_warmup,num::qrsbt_support_score,0.0,0.05
1,false_warmup,num::base_rank,0.015734538749746205,0.05
1,false_warmup,action::PLACE_AT_2,0.20302221118292402,0.05
1,false_warmup,action::PLACE_AT_3,0.10620552767292345,0.05
1,false_warmup,action::PLACE_AT_5,0.07995030907705823,0.05
1,false_warmup,action::PLACE_AT_10,-0.5913880713937124,0.05
1,false_warmup,interaction::qrsbt_relevance_probability__PLACE_AT_2,-0.03695906584722123,0.05
1,false_warmup,interaction::qrsbt_relevance_probability__PLACE_AT_3,-0.09511985095823461,0.05
1,false_warmup,interaction::qrsbt_relevance_probability__PLACE_AT_5,-0.08657030265775154,0.05
1,false_warmup,interaction::qrsbt_relevance_probability__PLACE_AT_10,-0.057271471613800085,0.05
1,false_warmup,interaction::qrsbt_confidence__PLACE_AT_2,0.02509986958651962,0.05
1,false_warmup,interaction::qrsbt_confidence__PLACE_AT_3,-0.03371739571359158,0.05
1,false_warmup,interaction::qrsbt_confidence__PLACE_AT_5,-0.02194111737418968,0.05
1,false_warmup,interaction::qrsbt_confidence__PLACE_AT_10,-0.04024767693384568,0.05
1,false_warmup,interaction::qrsbt_support_score__PLACE_AT_2,0.0,0.05
1,false_warmup,interaction::qrsbt_support_score__PLACE_AT_3,0.0,0.05
1,false_warmup,interaction::qrsbt_support_score__PLACE_AT_5,0.0,0.05
1,false_warmup,interaction::qrsbt_support_score__PLACE_AT_10,0.0,0.05
1,false_warmup,interaction::base_rank__PLACE_AT_2,0.00753268667149679,0.05
1,false_warmup,interaction::base_rank__PLACE_AT_3,0.0074412457147142825,0.05
1,false_warmup,interaction::base_rank__PLACE_AT_5,-0.0701712376749319,0.05
1,false_warmup,interaction::base_rank__PLACE_AT_10,0.007100373993694018,0.05
1,worst_utility,num::qrsbt_relevance_probability,0.1322711380714549,0.05
1,worst_utility,num::qrsbt_confidence,0.0373875917283173,0.05
1,worst_utility,num::qrsbt_support_score,0.0,0.05
1,worst_utility,num::base_rank,0.16462043686229108,0.05
1,worst_utility,action::PLACE_AT_2,0.02397867276968388,0.05
1,worst_utility,action::PLACE_AT_3,-0.01634845864972748,0.05
1,worst_utility,action::PLACE_AT_5,0.1846664055793054,0.05
1,worst_utility,action::PLACE_AT_10,-0.056705301664875724,0.05
1,worst_utility,interaction::qrsbt_relevance_probability__PLACE_AT_2,0.018052613127276573,0.05
1,worst_utility,interaction::qrsbt_relevance_probability__PLACE_AT_3,0.06256657525864287,0.05
1,worst_utility,interaction::qrsbt_relevance_probability__PLACE_AT_5,-0.059814437848788954,0.05
1,worst_utility,interaction::qrsbt_relevance_probability__PLACE_AT_10,-0.05324622134712297,0.05
1,worst_utility,interaction::qrsbt_confidence__PLACE_AT_2,-0.03178880350580512,0.05
1,worst_utility,interaction::qrsbt_confidence__PLACE_AT_3,-0.02022272334551619,0.05
1,worst_utility,interaction::qrsbt_confidence__PLACE_AT_5,-0.011220348123667099,0.05
1,worst_utility,interaction::qrsbt_confidence__PLACE_AT_10,-0.04885654997090261,0.05
1,worst_utility,interaction::qrsbt_support_score__PLACE_AT_2,0.0,0.05
1,worst_utility,interaction::qrsbt_support_score__PLACE_AT_3,0.0,0.05
1,worst_utility,interaction::qrsbt_support_score__PLACE_AT_5,0.0,0.05
1,worst_utility,interaction::qrsbt_support_score__PLACE_AT_10,0.0,0.05
1,worst_utility,interaction::base_rank__PLACE_AT_2,-0.029642773185546357,0.05
1,worst_utility,interaction::base_rank__PLACE_AT_3,-0.061141025949556525,0.05
1,worst_utility,interaction::base_rank__PLACE_AT_5,-0.08594262264930691,0.05
1,worst_utility,interaction::base_rank__PLACE_AT_10,0.10515653699290647,0.05
1,p10_utility,num::qrsbt_relevance_probability,-0.009258243630753029,1.0
1,p10_utility,num::qrsbt_confidence,0.2804964860815938,1.0
1,p10_utility,num::qrsbt_support_score,0.0,1.0
1,p10_utility,num::base_rank,0.1960810588874499,1.0
1,p10_utility,action::PLACE_AT_2,0.5657173964736627,1.0
1,p10_utility,action::PLACE_AT_3,0.07180684350460755,1.0
1,p10_utility,action::PLACE_AT_5,0.03506708447899907,1.0
1,p10_utility,action::PLACE_AT_10,-2.981509408706678,1.0
1,p10_utility,interaction::qrsbt_relevance_probability__PLACE_AT_2,-0.23629571066460633,1.0
1,p10_utility,interaction::qrsbt_relevance_probability__PLACE_AT_3,-0.5286843181251925,1.0
1,p10_utility,interaction::qrsbt_relevance_probability__PLACE_AT_5,-0.24818795465998672,1.0
1,p10_utility,interaction::qrsbt_relevance_probability__PLACE_AT_10,0.017543335977544795,1.0
1,p10_utility,interaction::qrsbt_confidence__PLACE_AT_2,0.3231007019961366,1.0
1,p10_utility,interaction::qrsbt_confidence__PLACE_AT_3,0.05222993558512066,1.0
1,p10_utility,interaction::qrsbt_confidence__PLACE_AT_5,-0.6077943787902748,1.0
1,p10_utility,interaction::qrsbt_confidence__PLACE_AT_10,-0.2971830450484542,1.0
1,p10_utility,interaction::qrsbt_support_score__PLACE_AT_2,0.0,1.0
1,p10_utility,interaction::qrsbt_support_score__PLACE_AT_3,0.0,1.0
1,p10_utility,interaction::qrsbt_support_score__PLACE_AT_5,0.0,1.0
1,p10_utility,interaction::qrsbt_support_score__PLACE_AT_10,0.0,1.0
1,p10_utility,interaction::base_rank__PLACE_AT_2,0.04185902031528445,1.0
1,p10_utility,interaction::base_rank__PLACE_AT_3,-0.10061346466637276,1.0
1,p10_utility,interaction::base_rank__PLACE_AT_5,0.10566646824493663,1.0
1,p10_utility,interaction::base_rank__PLACE_AT_10,-0.17891102924603708,1.0
2,utility,num::qrsbt_relevance_probability,-0.17979927544235216,1.0
2,utility,num::qrsbt_confidence,0.04739037155788409,1.0
2,utility,num::qrsbt_support_score,0.0,1.0
2,utility,num::base_rank,-0.33774234041075285,1.0
2,utility,action::PLACE_AT_2,-0.18383779614325577,1.0
2,utility,action::PLACE_AT_3,-0.27684055096419247,1.0
2,utility,action::PLACE_AT_5,-0.674857079889813,1.0
2,utility,action::PLACE_AT_10,-1.593424573002762,1.0
2,utility,interaction::qrsbt_relevance_probability__PLACE_AT_2,0.006318099633431432,1.0
2,utility,interaction::qrsbt_relevance_probability__PLACE_AT_3,0.09069990754591066,1.0
2,utility,interaction::qrsbt_relevance_probability__PLACE_AT_5,0.19386046542935567,1.0
2,utility,interaction::qrsbt_relevance_probability__PLACE_AT_10,0.2491793255768508,1.0
2,utility,interaction::qrsbt_confidence__PLACE_AT_2,0.0519765010714251,1.0
2,utility,interaction::qrsbt_confidence__PLACE_AT_3,0.1353401145362604,1.0
2,utility,interaction::qrsbt_confidence__PLACE_AT_5,-0.042052815276403324,1.0
2,utility,interaction::qrsbt_confidence__PLACE_AT_10,-0.001719066507246955,1.0
2,utility,interaction::qrsbt_support_score__PLACE_AT_2,0.0,1.0
2,utility,interaction::qrsbt_support_score__PLACE_AT_3,0.0,1.0
2,utility,interaction::qrsbt_support_score__PLACE_AT_5,0.0,1.0
2,utility,interaction::qrsbt_support_score__PLACE_AT_10,0.0,1.0
2,utility,interaction::base_rank__PLACE_AT_2,0.02634053166313248,1.0
2,utility,interaction::base_rank__PLACE_AT_3,0.1829826812206683,1.0
2,utility,interaction::base_rank__PLACE_AT_5,0.2123704902836988,1.0
2,utility,interaction::base_rank__PLACE_AT_10,0.24532589271474264,1.0
2,irrelevant,num::qrsbt_relevance_probability,0.19373202146636653,0.05
2,irrelevant,num::qrsbt_confidence,-0.17393324657133008,0.05
2,irrelevant,num::qrsbt_support_score,0.0,0.05
2,irrelevant,num::base_rank,0.05335523992032466,0.05
2,irrelevant,action::PLACE_AT_2,0.005010574679473946,0.05
2,irrelevant,action::PLACE_AT_3,0.027012062353086615,0.05
2,irrelevant,action::PLACE_AT_5,-0.12132948666543336,0.05
2,irrelevant,action::PLACE_AT_10,-0.3745526914233225,0.05
2,irrelevant,interaction::qrsbt_relevance_probability__PLACE_AT_2,0.02975148553232302,0.05
2,irrelevant,interaction::qrsbt_relevance_probability__PLACE_AT_3,-0.040734712925263025,0.05
2,irrelevant,interaction::qrsbt_relevance_probability__PLACE_AT_5,0.1519223343751878,0.05
2,irrelevant,interaction::qrsbt_relevance_probability__PLACE_AT_10,-0.12144649855980752,0.05
2,irrelevant,interaction::qrsbt_confidence__PLACE_AT_2,-0.03001329076579163,0.05
2,irrelevant,interaction::qrsbt_confidence__PLACE_AT_3,0.015009157148941422,0.05
2,irrelevant,interaction::qrsbt_confidence__PLACE_AT_5,0.02281720518665636,0.05
2,irrelevant,interaction::qrsbt_confidence__PLACE_AT_10,0.15200170105561153,0.05
2,irrelevant,interaction::qrsbt_support_score__PLACE_AT_2,0.0,0.05
2,irrelevant,interaction::qrsbt_support_score__PLACE_AT_3,0.0,0.05
2,irrelevant,interaction::qrsbt_support_score__PLACE_AT_5,0.0,0.05
2,irrelevant,interaction::qrsbt_support_score__PLACE_AT_10,0.0,0.05
2,irrelevant,interaction::base_rank__PLACE_AT_2,0.05756655909110265,0.05
2,irrelevant,interaction::base_rank__PLACE_AT_3,-0.014058221086655567,0.05
2,irrelevant,interaction::base_rank__PLACE_AT_5,0.0015615813195384684,0.05
2,irrelevant,interaction::base_rank__PLACE_AT_10,0.17327476388832053,0.05
2,false_warmup,num::qrsbt_relevance_probability,-0.11667837622271705,0.05
2,false_warmup,num::qrsbt_confidence,0.23520093089296834,0.05
2,false_warmup,num::qrsbt_support_score,0.0,0.05
2,false_warmup,num::base_rank,0.06291286317983501,0.05
2,false_warmup,action::PLACE_AT_2,0.15634556284593948,0.05
2,false_warmup,action::PLACE_AT_3,0.133158749246544,0.05
2,false_warmup,action::PLACE_AT_5,0.06047051023345342,0.05
2,false_warmup,action::PLACE_AT_10,-0.5767333805311439,0.05
2,false_warmup,interaction::qrsbt_relevance_probability__PLACE_AT_2,-0.0282735662407957,0.05
2,false_warmup,interaction::qrsbt_relevance_probability__PLACE_AT_3,-0.11321416049817684,0.05
2,false_warmup,interaction::qrsbt_relevance_probability__PLACE_AT_5,-0.14759710330123102,0.05
2,false_warmup,interaction::qrsbt_relevance_probability__PLACE_AT_10,0.0260371479523924,0.05
2,false_warmup,interaction::qrsbt_confidence__PLACE_AT_2,0.0279453952442221,0.05
2,false_warmup,interaction::qrsbt_confidence__PLACE_AT_3,-0.04913273910501286,0.05
2,false_warmup,interaction::qrsbt_confidence__PLACE_AT_5,-0.006635957832868072,0.05
2,false_warmup,interaction::qrsbt_confidence__PLACE_AT_10,0.020644436895952026,0.05
2,false_warmup,interaction::qrsbt_support_score__PLACE_AT_2,0.0,0.05
2,false_warmup,interaction::qrsbt_support_score__PLACE_AT_3,0.0,0.05
2,false_warmup,interaction::qrsbt_support_score__PLACE_AT_5,0.0,0.05
2,false_warmup,interaction::qrsbt_support_score__PLACE_AT_10,0.0,0.05
2,false_warmup,interaction::base_rank__PLACE_AT_2,0.03266322824650924,0.05
2,false_warmup,interaction::base_rank__PLACE_AT_3,0.03519734297487132,0.05
2,false_warmup,interaction::base_rank__PLACE_AT_5,-0.10031559382224661,0.05
2,false_warmup,interaction::base_rank__PLACE_AT_10,-0.029240327154207504,0.05
2,worst_utility,num::qrsbt_relevance_probability,0.010079687544586477,0.05
2,worst_utility,num::qrsbt_confidence,0.06872604162711318,0.05
2,worst_utility,num::qrsbt_support_score,0.0,0.05
2,worst_utility,num::base_rank,0.22142489480813918,0.05
2,worst_utility,action::PLACE_AT_2,-0.02458058027281143,0.05
2,worst_utility,action::PLACE_AT_3,-0.064357555158773,0.05
2,worst_utility,action::PLACE_AT_5,0.1160190795815015,0.05
2,worst_utility,action::PLACE_AT_10,-0.06496280216231215,0.05
2,worst_utility,interaction::qrsbt_relevance_probability__PLACE_AT_2,0.008957288297270086,0.05
2,worst_utility,interaction::qrsbt_relevance_probability__PLACE_AT_3,-0.047017108727951465,0.05
2,worst_utility,interaction::qrsbt_relevance_probability__PLACE_AT_5,-0.11148173087667726,0.05
2,worst_utility,interaction::qrsbt_relevance_probability__PLACE_AT_10,0.03442024637046778,0.05
2,worst_utility,interaction::qrsbt_confidence__PLACE_AT_2,0.015492725607470198,0.05
2,worst_utility,interaction::qrsbt_confidence__PLACE_AT_3,-0.05816505453518496,0.05
2,worst_utility,interaction::qrsbt_confidence__PLACE_AT_5,0.035050898919428176,0.05
2,worst_utility,interaction::qrsbt_confidence__PLACE_AT_10,-0.011072869876075205,0.05
2,worst_utility,interaction::qrsbt_support_score__PLACE_AT_2,0.0,0.05
2,worst_utility,interaction::qrsbt_support_score__PLACE_AT_3,0.0,0.05
2,worst_utility,interaction::qrsbt_support_score__PLACE_AT_5,0.0,0.05
2,worst_utility,interaction::qrsbt_support_score__PLACE_AT_10,0.0,0.05
2,worst_utility,interaction::base_rank__PLACE_AT_2,0.08930790268168708,0.05
2,worst_utility,interaction::base_rank__PLACE_AT_3,-0.05968364829988391,0.05
2,worst_utility,interaction::base_rank__PLACE_AT_5,-0.10768304217499058,0.05
2,worst_utility,interaction::base_rank__PLACE_AT_10,0.06623199250641987,0.05
2,p10_utility,num::qrsbt_relevance_probability,0.050615172369436516,1.0
2,p10_utility,num::qrsbt_confidence,0.17463476714165144,1.0
2,p10_utility,num::qrsbt_support_score,0.0,1.0
2,p10_utility,num::base_rank,0.24287807295413807,1.0
2,p10_utility,action::PLACE_AT_2,0.5474395341811678,1.0
2,p10_utility,action::PLACE_AT_3,-0.0954327316374495,1.0
2,p10_utility,action::PLACE_AT_5,0.13166377549593172,1.0
2,p10_utility,action::PLACE_AT_10,-2.938869614571444,1.0
2,p10_utility,interaction::qrsbt_relevance_probability__PLACE_AT_2,-0.1923873681546934,1.0
2,p10_utility,interaction::qrsbt_relevance_probability__PLACE_AT_3,-0.295559041204196,1.0
2,p10_utility,interaction::qrsbt_relevance_probability__PLACE_AT_5,-0.29793267125310197,1.0
2,p10_utility,interaction::qrsbt_relevance_probability__PLACE_AT_10,-0.008409677258369243,1.0
2,p10_utility,interaction::qrsbt_confidence__PLACE_AT_2,0.2087507061701621,1.0
2,p10_utility,interaction::qrsbt_confidence__PLACE_AT_3,-0.08031712823707952,1.0
2,p10_utility,interaction::qrsbt_confidence__PLACE_AT_5,-0.411154651245658,1.0
2,p10_utility,interaction::qrsbt_confidence__PLACE_AT_10,-0.1920217172718452,1.0
2,p10_utility,interaction::qrsbt_support_score__PLACE_AT_2,0.0,1.0
2,p10_utility,interaction::qrsbt_support_score__PLACE_AT_3,0.0,1.0
2,p10_utility,interaction::qrsbt_support_score__PLACE_AT_5,0.0,1.0
2,p10_utility,interaction::qrsbt_support_score__PLACE_AT_10,0.0,1.0
2,p10_utility,interaction::base_rank__PLACE_AT_2,0.06014488880931306,1.0
2,p10_utility,interaction::base_rank__PLACE_AT_3,-0.3405873110941598,1.0
2,p10_utility,interaction::base_rank__PLACE_AT_5,0.422718036278529,1.0
2,p10_utility,interaction::base_rank__PLACE_AT_10,-0.12009501318202144,1.0
3,utility,num::qrsbt_relevance_probability,-0.2413939935609644,0.1
3,utility,num::qrsbt_confidence,0.09983945885942468,0.1
3,utility,num::qrsbt_support_score,0.0,0.1
3,utility,num::base_rank,-0.18329986615018817,0.1
3,utility,action::PLACE_AT_2,-0.2550888551840794,0.1
3,utility,action::PLACE_AT_3,-0.4544782529081982,0.1
3,utility,action::PLACE_AT_5,-0.8386025937352878,0.1
3,utility,action::PLACE_AT_10,-1.8234485554338735,0.1
3,utility,interaction::qrsbt_relevance_probability__PLACE_AT_2,0.0697741623626857,0.1
3,utility,interaction::qrsbt_relevance_probability__PLACE_AT_3,0.10248680298537562,0.1
3,utility,interaction::qrsbt_relevance_probability__PLACE_AT_5,0.18362130803965762,0.1
3,utility,interaction::qrsbt_relevance_probability__PLACE_AT_10,0.24840822372222987,0.1
3,utility,interaction::qrsbt_confidence__PLACE_AT_2,0.01806530553168081,0.1
3,utility,interaction::qrsbt_confidence__PLACE_AT_3,0.14675515141231663,0.1
3,utility,interaction::qrsbt_confidence__PLACE_AT_5,0.021818626461282974,0.1
3,utility,interaction::qrsbt_confidence__PLACE_AT_10,-0.05317993244639684,0.1
3,utility,interaction::qrsbt_support_score__PLACE_AT_2,0.0,0.1
3,utility,interaction::qrsbt_support_score__PLACE_AT_3,0.0,0.1
3,utility,interaction::qrsbt_support_score__PLACE_AT_5,0.0,0.1
3,utility,interaction::qrsbt_support_score__PLACE_AT_10,0.0,0.1
3,utility,interaction::base_rank__PLACE_AT_2,-0.009226858165393871,0.1
3,utility,interaction::base_rank__PLACE_AT_3,0.022917048226404772,0.1
3,utility,interaction::base_rank__PLACE_AT_5,0.09078712273722675,0.1
3,utility,interaction::base_rank__PLACE_AT_10,0.06703830479065447,0.1
3,irrelevant,num::qrsbt_relevance_probability,0.35291483004078156,0.2
3,irrelevant,num::qrsbt_confidence,-0.24509397817621717,0.2
3,irrelevant,num::qrsbt_support_score,0.0,0.2
3,irrelevant,num::base_rank,-0.02196003870825491,0.2
3,irrelevant,action::PLACE_AT_2,-0.07493314245114235,0.2
3,irrelevant,action::PLACE_AT_3,-0.05021499490868337,0.2
3,irrelevant,action::PLACE_AT_5,-0.2937790657407619,0.2
3,irrelevant,action::PLACE_AT_10,-0.676447161391617,0.2
3,irrelevant,interaction::qrsbt_relevance_probability__PLACE_AT_2,-0.15175444305255514,0.2
3,irrelevant,interaction::qrsbt_relevance_probability__PLACE_AT_3,0.062197789920898576,0.2
3,irrelevant,interaction::qrsbt_relevance_probability__PLACE_AT_5,0.10852440823078202,0.2
3,irrelevant,interaction::qrsbt_relevance_probability__PLACE_AT_10,-0.39461621984667344,0.2
3,irrelevant,interaction::qrsbt_confidence__PLACE_AT_2,0.04737731050654498,0.2
3,irrelevant,interaction::qrsbt_confidence__PLACE_AT_3,-0.020768642100950318,0.2
3,irrelevant,interaction::qrsbt_confidence__PLACE_AT_5,0.03623600183299416,0.2
3,irrelevant,interaction::qrsbt_confidence__PLACE_AT_10,0.3732144094526165,0.2
3,irrelevant,interaction::qrsbt_support_score__PLACE_AT_2,0.0,0.2
3,irrelevant,interaction::qrsbt_support_score__PLACE_AT_3,0.0,0.2
3,irrelevant,interaction::qrsbt_support_score__PLACE_AT_5,0.0,0.2
3,irrelevant,interaction::qrsbt_support_score__PLACE_AT_10,0.0,0.2
3,irrelevant,interaction::base_rank__PLACE_AT_2,0.014189418555435096,0.2
3,irrelevant,interaction::base_rank__PLACE_AT_3,0.057297429448222796,0.2
3,irrelevant,interaction::base_rank__PLACE_AT_5,-0.02146594450295601,0.2
3,irrelevant,interaction::base_rank__PLACE_AT_10,0.3715884924269901,0.2
3,false_warmup,num::qrsbt_relevance_probability,-0.2868835668731347,0.2
3,false_warmup,num::qrsbt_confidence,0.3889012655886094,0.2
3,false_warmup,num::qrsbt_support_score,0.0,0.2
3,false_warmup,num::base_rank,-0.20067395068950158,0.2
3,false_warmup,action::PLACE_AT_2,0.24826037733559583,0.2
3,false_warmup,action::PLACE_AT_3,0.1897889388585874,0.2
3,false_warmup,action::PLACE_AT_5,0.2192305184825236,0.2
3,false_warmup,action::PLACE_AT_10,-0.9356957024414057,0.2
3,false_warmup,interaction::qrsbt_relevance_probability__PLACE_AT_2,-0.2069968798207606,0.2
3,false_warmup,interaction::qrsbt_relevance_probability__PLACE_AT_3,-0.08994215636177189,0.2
3,false_warmup,interaction::qrsbt_relevance_probability__PLACE_AT_5,-0.11442024738792413,0.2
3,false_warmup,interaction::qrsbt_relevance_probability__PLACE_AT_10,0.07848557712764574,0.2
3,false_warmup,interaction::qrsbt_confidence__PLACE_AT_2,0.023118293635443394,0.2
3,false_warmup,interaction::qrsbt_confidence__PLACE_AT_3,-0.10843679549453523,0.2
3,false_warmup,interaction::qrsbt_confidence__PLACE_AT_5,-0.07379401809826686,0.2
3,false_warmup,interaction::qrsbt_confidence__PLACE_AT_10,0.047550013838133474,0.2
3,false_warmup,interaction::qrsbt_support_score__PLACE_AT_2,0.0,0.2
3,false_warmup,interaction::qrsbt_support_score__PLACE_AT_3,0.0,0.2
3,false_warmup,interaction::qrsbt_support_score__PLACE_AT_5,0.0,0.2
3,false_warmup,interaction::qrsbt_support_score__PLACE_AT_10,0.0,0.2
3,false_warmup,interaction::base_rank__PLACE_AT_2,-0.07461099520361796,0.2
3,false_warmup,interaction::base_rank__PLACE_AT_3,0.00039140118190869475,0.2
3,false_warmup,interaction::base_rank__PLACE_AT_5,-0.08267889310777363,0.2
3,false_warmup,interaction::base_rank__PLACE_AT_10,0.08773893603685923,0.2
3,worst_utility,num::qrsbt_relevance_probability,0.05806484754649514,0.05
3,worst_utility,num::qrsbt_confidence,0.021018084534833427,0.05
3,worst_utility,num::qrsbt_support_score,0.0,0.05
3,worst_utility,num::base_rank,0.1386076826110362,0.05
3,worst_utility,action::PLACE_AT_2,-0.023270630759846277,0.05
3,worst_utility,action::PLACE_AT_3,-0.06391205867400407,0.05
3,worst_utility,action::PLACE_AT_5,0.1978523676807159,0.05
3,worst_utility,action::PLACE_AT_10,-0.003849617966523974,0.05
3,worst_utility,interaction::qrsbt_relevance_probability__PLACE_AT_2,0.05934402654208224,0.05
3,worst_utility,interaction::qrsbt_relevance_probability__PLACE_AT_3,0.06671955566637024,0.05
3,worst_utility,interaction::qrsbt_relevance_probability__PLACE_AT_5,-0.04547656544443857,0.05
3,worst_utility,interaction::qrsbt_relevance_probability__PLACE_AT_10,0.03463606909460569,0.05
3,worst_utility,interaction::qrsbt_confidence__PLACE_AT_2,-0.026609314241666487,0.05
3,worst_utility,interaction::qrsbt_confidence__PLACE_AT_3,0.03307846583223438,0.05
3,worst_utility,interaction::qrsbt_confidence__PLACE_AT_5,-0.04112218636210703,0.05
3,worst_utility,interaction::qrsbt_confidence__PLACE_AT_10,-0.023663877459244843,0.05
3,worst_utility,interaction::qrsbt_support_score__PLACE_AT_2,0.0,0.05
3,worst_utility,interaction::qrsbt_support_score__PLACE_AT_3,0.0,0.05
3,worst_utility,interaction::qrsbt_support_score__PLACE_AT_5,0.0,0.05
3,worst_utility,interaction::qrsbt_support_score__PLACE_AT_10,0.0,0.05
3,worst_utility,interaction::base_rank__PLACE_AT_2,0.02252247052041329,0.05
3,worst_utility,interaction::base_rank__PLACE_AT_3,0.019622926940337904,0.05
3,worst_utility,interaction::base_rank__PLACE_AT_5,0.009245354485681706,0.05
3,worst_utility,interaction::base_rank__PLACE_AT_10,0.15998829457723868,0.05
3,p10_utility,num::qrsbt_relevance_probability,0.07236258641703178,1.0
3,p10_utility,num::qrsbt_confidence,0.15745422081775182,1.0
3,p10_utility,num::qrsbt_support_score,0.0,1.0
3,p10_utility,num::base_rank,0.43365248319550315,1.0
3,p10_utility,action::PLACE_AT_2,0.40040076094585725,1.0
3,p10_utility,action::PLACE_AT_3,-0.11952667349768542,1.0
3,p10_utility,action::PLACE_AT_5,0.0841738437325128,1.0
3,p10_utility,action::PLACE_AT_10,-2.9306404888422524,1.0
3,p10_utility,interaction::qrsbt_relevance_probability__PLACE_AT_2,-0.20238396196928624,1.0
3,p10_utility,interaction::qrsbt_relevance_probability__PLACE_AT_3,-0.28171741299918535,1.0
3,p10_utility,interaction::qrsbt_relevance_probability__PLACE_AT_5,-0.16684324194219569,1.0
3,p10_utility,interaction::qrsbt_relevance_probability__PLACE_AT_10,-0.09372725888521481,1.0
3,p10_utility,interaction::qrsbt_confidence__PLACE_AT_2,0.2956463611428795,1.0
3,p10_utility,interaction::qrsbt_confidence__PLACE_AT_3,-0.03615228466189955,1.0
3,p10_utility,interaction::qrsbt_confidence__PLACE_AT_5,-0.6185467136683865,1.0
3,p10_utility,interaction::qrsbt_confidence__PLACE_AT_10,-0.1867381043215362,1.0
3,p10_utility,interaction::qrsbt_support_score__PLACE_AT_2,0.0,1.0
3,p10_utility,interaction::qrsbt_support_score__PLACE_AT_3,0.0,1.0
3,p10_utility,interaction::qrsbt_support_score__PLACE_AT_5,0.0,1.0
